metric_date,open,high,low,close,volume,market_cap,mcap_weekly_growth,mcap_weekly_change,crypto,type
2024-01-14,64.2544218869,76.8476257396,61.7083904108,69.8155939773,3866786914.35,5172912275.92,8.688862539849929,413535689.35999966,Litecoin,cryptocoins
2024-01-21,69.7960499598,72.6748647918,66.6109607418,71.6000807786,2326786846.75,5306933566.96,2.5908286066220754,134021291.03999996,Litecoin,cryptocoins
2024-01-28,71.6147147351,72.5446017703,63.2613041922,68.3975067158,2075686084.67,5071297245.6,-4.440159621123363,-235636321.35999966,Litecoin,cryptocoins
2024-02-04,68.3915453744,69.7961666719,65.8031440248,66.9313881546,1694363741.42,4964268448.81,-2.1104816303729956,-107028796.78999996,Litecoin,cryptocoins
2024-02-11,66.9322862702,72.9405657565,66.7140166849,71.5400017729,1875140504.27,5307952926.71,6.923164640348678,343684477.8999996,Litecoin,cryptocoins
2024-02-18,71.5449443761,73.4126807928,68.280549075,70.7302463577,2452357519.41,5249635586.99,-1.098678540017628,-58317339.72000027,Litecoin,cryptocoins
2024-02-25,70.7389098796,71.6713994354,67.5030079772,70.0821141353,2017210001.8600001,5203321034.01,-0.8822431997904667,-46314552.97999954,Litecoin,cryptocoins
2024-03-03,70.0872957541,94.5251642637,69.2285125626,90.6683502616,5246157367.059999,6734012595.72,29.417588338391543,1530691561.71,Litecoin,cryptocoins
2024-03-10,90.672822589,92.4245712138,74.4344061064,87.5075536982,5305675450.049999,6501520264.7,-3.4525081103615407,-232492331.02000046,Litecoin,cryptocoins
2024-03-17,87.505871135,105.584136577,81.1246586045,85.8575324593,6251521199.21,6381020328.42,-1.853411684867834,-120499936.27999973,Litecoin,cryptocoins
2024-03-24,85.8568752644,90.4247811476,77.2851549236,89.6907521391,4415743961.79,6668241699.91,4.50118251795506,287221371.4899998,Litecoin,cryptocoins
2024-03-31,89.6907521391,110.0059251202,87.7843708945,105.1834054652,6444869252.360001,7822756094.96,17.313625495392326,1154514395.0500002,Litecoin,cryptocoins
2024-04-07,105.1834054652,112.3158639227,94.3209095509,101.1756275283,6686689414.24,7527182093.29,-3.7783870298657374,-295574001.6700001,Litecoin,cryptocoins
2024-04-14,101.175635706,105.8420800752,71.3117641492,79.9143259397,5511364951.12,5947568803.57,-20.985453389364984,-1579613289.7200003,Litecoin,cryptocoins
2024-04-21,79.9156889489,85.890217432,75.8702816883,84.1656768843,3256911701.21,6265925459.96,5.352719185003929,318356656.39000034,Litecoin,cryptocoins
2024-04-28,84.1649304627,88.4882743725,82.1574470421,83.9520309178,3001145157.7,6252218877.7,-0.21874793033506146,-13706582.260000229,Litecoin,cryptocoins
2024-05-05,83.9526822695,85.4811026934,74.9177445523,81.3755685856,2398063418.71,6062317972.78,-3.037336162323523,-189900904.92000008,Litecoin,cryptocoins
2024-05-12,81.3753550525,83.9817272389,79.4097978809,81.3827831242,2154129756.14,6064911550.76,0.04278195224409753,2593577.980000496,Litecoin,cryptocoins
2024-05-19,81.3828108993,84.616539358,78.3171044256,82.2212107768,2240597422.45,6129492072.37,1.064822150652911,64580521.60999966,Litecoin,cryptocoins
2024-05-26,82.2212107768,89.4179985697,81.8735012823,83.8999259767,3255529879.34,6256762506.58,2.076361837283369,127270434.21000004,Litecoin,cryptocoins
2024-06-02,83.8999259767,86.3172374434,81.9682124604,83.0537578608,2208752079.0299997,6195734538.03,-0.9753921214976535,-61027968.55000019,Litecoin,cryptocoins
2024-06-09,83.0537578608,85.7346145057,76.5232507187,80.5100031326,2409997950.81,6008000099.36,-3.0300594306884587,-187734438.67000008,Litecoin,cryptocoins
